Exploitation;Execution_Time;UserID;GroupID;LongitudinalID
1;2.9094393253326416;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
2;8.365691423416138;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
3;4.365713357925415;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
4;5.005043029785156;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
5;7.46987509727478;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
6;11.499847173690796;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
7;9.029638051986694;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
8;12.283926010131836;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
9;8.318315267562866;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
10;7.8487818241119385;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
1;6.828865051269531;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
1;7.35004186630249;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
1;9.801891803741455;62A885D5B6AF18B3D4579E1B;GroupE;GroupE_BO
