Exploitation;Execution_Time;UserID;GroupID;LongitudinalID
1;2.3608789443969727;5D3522B6EAC3D50017DF02CB;GroupE;GroupE_BO
2;7.097543001174927;5D3522B6EAC3D50017DF02CB;GroupE;GroupE_BO
3;7.217376947402954;5D3522B6EAC3D50017DF02CB;GroupE;GroupE_BO
4;32.697022438049316;5D3522B6EAC3D50017DF02CB;GroupE;GroupE_BO
5;12.910269021987915;5D3522B6EAC3D50017DF02CB;GroupE;GroupE_BO
6;38.68495321273804;5D3522B6EAC3D50017DF02CB;GroupE;GroupE_BO
7;38.42693734169006;5D3522B6EAC3D50017DF02CB;GroupE;GroupE_BO
8;144.72968554496765;5D3522B6EAC3D50017DF02CB;GroupE;GroupE_BO
9;76.41372084617615;5D3522B6EAC3D50017DF02CB;GroupE;GroupE_BO
10;123.07047939300537;5D3522B6EAC3D50017DF02CB;GroupE;GroupE_BO
1;6.812060832977295;5D3522B6EAC3D50017DF02CB;GroupE;GroupE_BO
1;6.615335464477539;5D3522B6EAC3D50017DF02CB;GroupE;GroupE_BO
