Exploitation;Execution_Time
1;2.3608789443969727
2;7.097543001174927
3;7.217376947402954
4;32.697022438049316
5;12.910269021987915
6;38.68495321273804
7;38.42693734169006
8;144.72968554496765
9;76.41372084617615
10;123.07047939300537
1;6.812060832977295
1;6.615335464477539
