Exploitation;Execution_Time;UserID;GroupID;LongitudinalID
1;80.26548051834106;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
2;163.45574259757996;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
3;33.756582736968994;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
4;25.551446437835693;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
5;25.114849090576172;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
6;24.999396085739136;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
7;25.04625177383423;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
8;25.454668283462524;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
9;42.9791145324707;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
10;32.1313419342041;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
1;71.64634370803833;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
1;149.8953070640564;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
1;122.500736951828;63D69E4D6648B39324FDF0AD;GroupA;GroupA_BO
