UserID;Run;GroupID;LongitudinalID;Trajectory;TrajectoryAlpha;TrajectorySize;EgoTrajectory;EgoTrajectoryAlpha;EgoTrajectorySize;PedestrianIntention;PedestrianIntentionSize;SemanticSegmentation;SemanticSegmentationAlpha;CarStatus;CarStatusAlpha;CoveredArea;CoveredAreaAlpha;CoveredAreaSize;OccludedCars
64666D2AC5EEF6C2EDEF35C0;1;GroupB;GroupB_No;0.75;0.78;0.44;0.75;0.51;0.35;0.75;0.15;0.75;0.59;0.75;0.56;0.75;0.54;0.49;0.75
64666D2AC5EEF6C2EDEF35C0;2;GroupB;GroupB_No;0.75;0.1;0.488;0.25;0.975;0.6;0.25;0.2;0.75;0.113;0.75;0.975;0.75;1;0.574;0.25
64666D2AC5EEF6C2EDEF35C0;3;GroupB;GroupB_No;0.75;0.851;0.308;0.75;0.531;0.254;0.75;0.109;0.75;0.667;0.75;0.58;0.75;0.56;0.488;0.75
64666D2AC5EEF6C2EDEF35C0;4;GroupB;GroupB_No;0.75;0.752;0.332;0.75;0.587;0.296;0.75;0.121;0.75;0.594;0.75;0.629;0.75;0.613;0.5;0.75
64666D2AC5EEF6C2EDEF35C0;5;GroupB;GroupB_No;0.75;0.796;0.337;0.75;0.561;0.281;0.75;0.118;0.75;0.612;0.75;0.592;0.75;0.569;0.43;0.75
64666D2AC5EEF6C2EDEF35C0;6;GroupB;GroupB_No;0.75;0.805;0.305;0.75;0.558;0.27;0.75;0.113;0.75;0.647;0.75;0.616;0.75;0.603;0.553;0.75
64666D2AC5EEF6C2EDEF35C0;7;GroupB;GroupB_No;0.75;0.819;0.389;0.75;0.547;0.276;0.75;0.115;0.75;0.609;0.75;0.519;0.75;0.486;0.501;0.75
64666D2AC5EEF6C2EDEF35C0;8;GroupB;GroupB_No;0.75;0.784;0.25;0.75;0.572;0.275;0.75;0.115;0.75;0.653;0.75;0.691;0.75;0.689;0.487;0.75
64666D2AC5EEF6C2EDEF35C0;9;GroupB;GroupB_No;0.75;0.786;0.339;0.75;0.513;0.275;0.75;0.116;0.75;0.586;0.75;0.544;0.75;0.598;0.424;0.75
64666D2AC5EEF6C2EDEF35C0;10;GroupB;GroupB_No;0.75;0.82;0.303;0.75;0.614;0.276;0.75;0.115;0.75;0.681;0.75;0.669;0.75;0.568;0.568;0.75
64666D2AC5EEF6C2EDEF35C0;11;GroupB;GroupB_No;0.75;0.764;0.266;0.75;0.399;0.256;0.75;0.109;0.75;0.549;0.75;0.536;0.75;0.711;0.407;0.75
64666D2AC5EEF6C2EDEF35C0;12;GroupB;GroupB_No;0.75;0.764;0.266;0.75;0.399;0.256;0.75;0.109;0.75;0.549;0.75;0.536;0.75;0.711;0.407;0.75
64666D2AC5EEF6C2EDEF35C0;1;GroupB;GroupB_No;0.75;0.764;0.266;0.75;0.399;0.256;0.75;0.109;0.75;0.549;0.75;0.536;0.75;0.711;0.407;0.75
64666D2AC5EEF6C2EDEF35C0;1;GroupB;GroupB_No;0.75;0.764;0.266;0.75;0.399;0.256;0.75;0.109;0.75;0.549;0.75;0.536;0.75;0.711;0.407;0.75
64666D2AC5EEF6C2EDEF35C0;1;GroupB;GroupB_No;0.75;0.764;0.266;0.75;0.399;0.256;0.75;0.109;0.75;0.549;0.75;0.536;0.75;0.711;0.407;0.75
64666D2AC5EEF6C2EDEF35C0;1;GroupB;GroupB_No;0.75;0.764;0.266;0.75;0.399;0.256;0.75;0.109;0.75;0.549;0.75;0.536;0.75;0.711;0.407;0.75
64666D2AC5EEF6C2EDEF35C0;1;GroupB;GroupB_No;0.75;0.764;0.266;0.75;0.399;0.256;0.75;0.109;0.75;0.549;0.75;0.536;0.75;0.711;0.407;0.75
64666D2AC5EEF6C2EDEF35C0;1;GroupB;GroupB_No;0.75;0.764;0.266;0.75;0.399;0.256;0.75;0.109;0.75;0.549;0.75;0.536;0.75;0.711;0.407;0.75
64666D2AC5EEF6C2EDEF35C0;1;GroupB;GroupB_No;0.75;0.764;0.266;0.75;0.399;0.256;0.75;0.109;0.75;0.549;0.75;0.536;0.75;0.711;0.407;0.75
64666D2AC5EEF6C2EDEF35C0;1;GroupB;GroupB_No;0.75;0.764;0.266;0.75;0.399;0.256;0.75;0.109;0.75;0.549;0.75;0.536;0.75;0.711;0.407;0.75
