response_id;user_id;group_id;longitudinal_id;run;phase;started;finished;"Trust_1";"Trust_2";"Understanding_1";"Understanding_2";"Understanding_3";"Understanding_4";"MentalLoad_1";"PerceivedSafety_1";"PerceivedSafety_2";"PerceivedSafety_3";"PerceivedSafety_4";"Aesthetics_1";"Acceptance_1";"AttentionCheck_1";"Acceptance_2";"TextInput_1"
3;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";1;"exploration";09/02/2023 19:14:46;09/02/2023 19:15:53;4;4;4;5;4;5;5;3;3;3;3;7;7;;7;"N/A"
4;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";2;"exploration";09/02/2023 19:16:46;09/02/2023 19:18:00;5;5;5;5;5;5;2;3;3;3;3;7;7;;7;"The UI is very nice to watch the screen."
5;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";3;"exploration";09/02/2023 19:18:43;09/02/2023 19:19:54;5;5;5;5;5;5;5;3;3;3;3;7;7;1;7;"The animations used in the video is very satisfying."
6;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";4;"exploration";09/02/2023 19:20:34;09/02/2023 19:21:30;5;5;5;5;5;5;5;3;3;3;3;7;7;;7;"I like the visualization very appealing."
7;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";5;"exploration";09/02/2023 19:22:10;09/02/2023 19:23:42;5;5;5;5;5;1;5;3;3;3;3;7;7;;7;"N/A"
8;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";6;"exploitation";09/02/2023 19:25:04;09/02/2023 19:26:10;5;5;5;5;5;5;5;3;3;3;3;7;7;;7;"No, I don't see any problems."
9;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";7;"exploitation";09/02/2023 19:28:04;09/02/2023 19:30:49;5;5;5;5;5;5;5;3;3;3;3;7;7;1;7;"N/A"
10;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";8;"exploitation";09/02/2023 19:32:26;09/02/2023 19:34:25;5;5;5;5;5;5;5;3;3;3;3;7;7;;7;"N/A"
11;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";9;"exploitation";09/02/2023 19:36:03;09/02/2023 19:36:57;5;5;5;5;5;5;8;3;3;3;3;7;7;;7;"N/A"
12;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";10;"exploitation";09/02/2023 19:38:29;09/02/2023 19:39:56;5;5;5;5;5;5;5;3;3;3;3;7;7;;7;"N/A"
13;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";11;"exploitation";09/02/2023 19:41:34;09/02/2023 19:42:48;5;5;5;5;5;5;5;3;3;3;3;7;7;1;6;"N/A"
14;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";12;"exploitation";09/02/2023 19:44:37;09/02/2023 19:45:33;5;5;5;5;5;5;5;3;3;3;3;7;7;;7;"N/A"
15;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";13;"exploitation";09/02/2023 19:47:14;09/02/2023 19:47:55;5;5;5;5;5;5;2;3;3;3;3;7;7;;7;"N/A"
16;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";14;"exploitation";09/02/2023 19:50:14;09/02/2023 19:52:26;5;5;5;5;5;1;2;3;3;3;3;7;7;;7;"N/A"
17;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";15;"exploitation";09/02/2023 19:54:43;09/02/2023 19:55:36;5;5;5;5;5;5;2;3;3;3;3;7;7;;7;"N/A"
18;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";1;"";09/02/2023 19:58:39;09/02/2023 20:00:22;5;5;5;5;5;5;2;3;3;3;3;7;7;;7;"N/A"
22;"60E5CB4CA01A593FCE9A379D";"GroupA";"GroupA_No";3;"";09/05/2023 04:10:22;09/05/2023 04:11:06;5;5;5;5;5;5;2;3;3;3;3;7;7;;7;"n/a"
