response_id;user_id;group_id;longitudinal_id;run;phase;started;finished;"Trust_1";"Trust_2";"Understanding_1";"Understanding_2";"Understanding_3";"Understanding_4";"MentalLoad_1";"PerceivedSafety_1";"PerceivedSafety_2";"PerceivedSafety_3";"PerceivedSafety_4";"Aesthetics_1";"Acceptance_1";"AttentionCheck_1";"Acceptance_2";"TextInput_1"
3;"63F77B9CA8439F6E1620C1CD";"GroupE";"GroupE_BO";1;"exploration";09/04/2023 23:23:51;09/04/2023 23:24:21;5;5;5;5;4;5;1;3;3;3;3;6;6;;6;"n/a"
4;"63F77B9CA8439F6E1620C1CD";"GroupE";"GroupE_BO";2;"exploitation";09/04/2023 23:25:16;09/04/2023 23:25:48;4;4;4;5;4;5;1;3;3;3;3;6;6;;6;"n/a"
5;"63F77B9CA8439F6E1620C1CD";"GroupE";"GroupE_BO";3;"exploitation";09/04/2023 23:26:43;09/04/2023 23:27:11;5;5;5;5;4;5;1;3;3;3;3;6;6;1;6;"n/a"
6;"63F77B9CA8439F6E1620C1CD";"GroupE";"GroupE_BO";4;"exploitation";09/04/2023 23:27:57;09/04/2023 23:28:23;5;5;4;5;4;5;1;3;3;3;3;6;6;;6;"n/a"
7;"63F77B9CA8439F6E1620C1CD";"GroupE";"GroupE_BO";5;"exploitation";09/04/2023 23:29:17;09/04/2023 23:29:43;5;5;5;5;4;5;1;3;3;3;3;6;6;;6;"n/a"
8;"63F77B9CA8439F6E1620C1CD";"GroupE";"GroupE_BO";6;"exploitation";09/04/2023 23:30:30;09/04/2023 23:30:58;5;5;5;5;5;5;1;3;3;3;3;6;6;;6;"n/a"
9;"63F77B9CA8439F6E1620C1CD";"GroupE";"GroupE_BO";7;"exploitation";09/04/2023 23:31:48;09/04/2023 23:32:24;5;5;5;5;4;5;1;2;3;2;3;6;6;1;6;"n/a"
10;"63F77B9CA8439F6E1620C1CD";"GroupE";"GroupE_BO";8;"exploitation";09/04/2023 23:33:17;09/04/2023 23:33:43;5;5;5;5;4;5;1;3;3;3;3;6;6;;6;"n/a"
11;"63F77B9CA8439F6E1620C1CD";"GroupE";"GroupE_BO";9;"exploitation";09/04/2023 23:34:33;09/04/2023 23:35:05;5;5;5;5;4;5;1;3;3;3;3;7;6;;6;"n/a"
12;"63F77B9CA8439F6E1620C1CD";"GroupE";"GroupE_BO";10;"exploitation";09/04/2023 23:35:57;09/04/2023 23:36:23;5;5;4;5;4;5;1;3;3;3;3;6;6;;6;"n/a"
13;"63F77B9CA8439F6E1620C1CD";"GroupE";"GroupE_BO";11;"exploitation";09/04/2023 23:37:09;09/04/2023 23:37:39;5;4;4;5;4;5;2;3;3;3;3;6;6;1;6;"n/a"
14;"63F77B9CA8439F6E1620C1CD";"GroupE";"GroupE_BO";1;"";09/04/2023 23:41:48;09/04/2023 23:42:15;3;3;3;3;3;3;4;1;1;1;1;6;5;;5;"n/a"
