response_id;user_id;group_id;longitudinal_id;run;phase;started;finished;"Trust_1";"Trust_2";"Understanding_1";"Understanding_2";"Understanding_3";"Understanding_4";"MentalLoad_1";"PerceivedSafety_1";"PerceivedSafety_2";"PerceivedSafety_3";"PerceivedSafety_4";"Aesthetics_1";"Acceptance_1";"AttentionCheck_1";"Acceptance_2";"TextInput_1"
3;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";1;"exploration";09/03/2023 20:09:05;09/03/2023 20:10:33;3;3;2;3;2;2;20;-1;-1;0;0;3;3;;3;"Should be able to copy and past prolific ID rather than having to type it"
4;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";2;"exploitation";09/03/2023 20:13:01;09/03/2023 20:13:40;3;2;3;3;2;4;14;-1;-1;0;0;3;3;;3;"N/A"
5;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";3;"exploitation";09/03/2023 20:15:43;09/03/2023 20:16:40;3;3;3;2;2;2;15;-1;-1;0;0;5;5;1;5;"I like that the other cars were highlighted blue"
6;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";4;"exploitation";09/03/2023 20:19:20;09/03/2023 20:20:13;3;3;4;3;3;3;15;0;0;1;1;4;4;;4;"The car accelerates quickly around the roundabout and up to the pedestrians."
7;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";5;"exploitation";09/03/2023 20:22:55;09/03/2023 20:23:33;3;3;4;4;3;3;15;1;1;1;1;4;5;;5;"N/A"
8;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";6;"exploitation";09/03/2023 20:25:53;09/03/2023 20:26:27;4;4;4;4;4;4;10;2;2;1;1;5;5;;5;"N/A"
9;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";7;"exploitation";09/03/2023 20:27:32;09/03/2023 20:28:10;4;4;4;4;4;4;10;1;1;2;1;5;5;1;5;"N/A"
10;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";8;"exploitation";09/03/2023 20:29:28;09/03/2023 20:30:04;4;4;4;4;4;4;10;1;1;1;2;5;5;;5;"I think the blue spheres are redundant"
11;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";9;"exploitation";09/03/2023 20:32:05;09/03/2023 20:32:37;4;4;4;4;4;4;10;1;1;1;1;5;5;;4;"N/A"
12;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";10;"exploitation";09/03/2023 20:33:43;09/03/2023 20:34:39;4;4;4;4;4;4;10;1;0;0;0;4;4;;4;"I would have a big warning/exclamation point over pedestrians crossing the street"
13;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";11;"exploitation";09/03/2023 20:35:52;09/03/2023 20:36:34;4;4;4;4;4;4;10;1;1;1;1;4;5;1;5;"N/A"
14;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";1;"";09/03/2023 20:39:43;09/03/2023 20:40:20;3;3;2;2;2;2;18;-1;-1;-1;0;4;4;;4;"N/A"
16;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";2;"";09/04/2023 21:38:53;09/04/2023 21:39:33;4;4;3;3;3;4;15;1;1;1;1;5;5;;5;"N/A"
17;"614E6F4F00A9E94B123316D3";"GroupB";"GroupB_No";2;"";09/05/2023 22:51:47;09/05/2023 22:52:54;4;4;3;4;3;3;14;0;2;1;1;5;5;;5;"A car was embedded in a guardrail at one of the intersections today."
