response_id;user_id;group_id;longitudinal_id;run;phase;started;finished;Trust_1;Trust_2;Understanding_1;Understanding_2;Understanding_3;Understanding_4;MentalLoad_1;PerceivedSafety_1;PerceivedSafety_2;PerceivedSafety_3;PerceivedSafety_4;Aesthetics_1;Acceptance_1;AttentionCheck_1;Acceptance_2;TextInput_1
3;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;1;exploration;09/05/2023 20:02:16;09/05/2023 20:02:58;3;3;2;4;4;2;2;1;1;3;0;4;5;;4;No problems
4;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;2;exploration;09/05/2023 20:03:38;09/05/2023 20:04:11;2;2;2;2;3;2;4;1;-1;3;0;4;4;;4;N/A
5;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;3;exploration;09/05/2023 20:04:50;09/05/2023 20:05:27;2;2;2;3;2;2;7;-1;-1;-1;0;2;3;1;4;N/A
6;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;4;exploration;09/05/2023 20:06:06;09/05/2023 20:06:30;2;2;3;2;2;2;7;-1;1;0;0;2;4;;4;N/A
7;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;5;exploration;09/05/2023 20:07:09;09/05/2023 20:07:40;2;2;2;2;2;2;8;0;0;0;0;3;3;;4;N/A
8;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;6;exploitation;09/05/2023 20:08:39;09/05/2023 20:09:15;2;3;2;2;2;2;8;0;0;0;0;3;3;;4;N/A
9;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;7;exploitation;09/05/2023 20:10:42;09/05/2023 20:11:22;1;2;2;2;2;2;7;0;0;0;0;3;3;1;4;N/A
10;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;8;exploitation;09/05/2023 20:12:52;09/05/2023 20:13:21;3;3;2;3;3;3;8;0;0;0;0;4;4;;4;N/A
11;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;9;exploitation;09/05/2023 20:14:57;09/05/2023 20:15:44;3;2;3;2;3;2;9;1;0;0;0;4;4;;4;N/A
12;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;10;exploitation;09/05/2023 20:17:07;09/05/2023 20:17:51;3;3;3;3;3;3;5;0;0;1;1;5;3;;3;N/A
13;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;11;exploitation;09/05/2023 20:19:05;09/05/2023 20:19:38;3;3;3;3;3;3;5;1;0;1;2;3;4;1;7;N/A
14;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;12;exploitation;09/05/2023 20:21:03;09/05/2023 20:21:27;3;3;3;3;4;4;5;2;2;2;2;6;5;;6;N/A
15;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;13;exploitation;09/05/2023 20:22:52;09/05/2023 20:23:26;3;3;4;3;3;4;5;2;2;1;1;5;6;;6;N/A
16;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;14;exploitation;09/05/2023 20:25:11;09/05/2023 20:25:36;3;3;4;4;4;3;4;2;3;3;2;6;4;;6;N/A
17;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;15;exploitation;09/05/2023 20:27:03;09/05/2023 20:27:29;3;3;4;4;3;3;4;2;2;3;2;6;6;;7;N/A
18;5FD18D125E1F92195B1717BC;GroupA;GroupA_BO;1;;09/05/2023 20:31:42;09/05/2023 20:32:21;4;3;4;3;4;4;4;2;2;3;2;6;6;1;7;N/A
