Exploitation;Execution_Time;UserID;GroupID;LongitudinalID
1;2.973459243774414;5F16F559325A640008BB9A07;GroupE;GroupE_No
2;7.458987236022949;5F16F559325A640008BB9A07;GroupE;GroupE_No
3;6.537346363067627;5F16F559325A640008BB9A07;GroupE;GroupE_No
4;11.514816284179688;5F16F559325A640008BB9A07;GroupE;GroupE_No
5;24.779020309448242;5F16F559325A640008BB9A07;GroupE;GroupE_No
6;26.892810344696045;5F16F559325A640008BB9A07;GroupE;GroupE_No
7;23.13233733177185;5F16F559325A640008BB9A07;GroupE;GroupE_No
8;20.83922243118286;5F16F559325A640008BB9A07;GroupE;GroupE_No
9;26.028685331344604;5F16F559325A640008BB9A07;GroupE;GroupE_No
10;27.04792809486389;5F16F559325A640008BB9A07;GroupE;GroupE_No
