UserID;Run;GroupID;LongitudinalID;Trajectory;TrajectoryAlpha;TrajectorySize;EgoTrajectory;EgoTrajectoryAlpha;EgoTrajectorySize;PedestrianIntention;PedestrianIntentionSize;SemanticSegmentation;SemanticSegmentationAlpha;CarStatus;CarStatusAlpha;CoveredArea;CoveredAreaAlpha;CoveredAreaSize;OccludedCars
597FE89A1B41A20001749F57;1;GroupB;GroupB_No;0.75;0.74;0.47;0.75;0.71;0.46;0.75;0.19;0.75;0.7;0.75;0.7;0.75;0.88;0.65;0.75
597FE89A1B41A20001749F57;2;GroupB;GroupB_No;0.25;0.1;0.6;0.75;0.494;0.6;0.75;0.127;0.25;0.1;0.25;1;0.25;0.597;0.2;0.25
597FE89A1B41A20001749F57;3;GroupB;GroupB_No;0.75;0.933;0.278;0.75;0.828;0.248;0.75;0.124;0.75;0.899;0.75;0.61;0.75;0.849;0.688;0.75
597FE89A1B41A20001749F57;4;GroupB;GroupB_No;0.75;0.633;0.382;0.75;0.659;0.396;0.75;0.115;0.75;0.592;0.75;0.823;0.75;0.921;0.512;0.75
597FE89A1B41A20001749F57;5;GroupB;GroupB_No;0.75;0.597;0.334;0.75;0.745;0.333;0.75;0.121;0.75;0.956;0.75;0.708;0.75;0.868;0.585;0.75
597FE89A1B41A20001749F57;6;GroupB;GroupB_No;0.75;0.83;0.319;0.75;0.76;0.307;0.75;0.12;0.75;0.548;0.75;0.697;0.75;0.879;0.618;0.75
597FE89A1B41A20001749F57;7;GroupB;GroupB_No;0.75;0.878;0.37;0.75;0.665;0.362;0.75;0.112;0.75;0.809;0.75;0.811;0.75;0.949;0.554;0.75
597FE89A1B41A20001749F57;8;GroupB;GroupB_No;0.75;0.52;0.328;0.75;0.754;0.33;0.75;0.121;0.75;0.763;0.75;0.624;0.75;0.859;0.589;0.75
597FE89A1B41A20001749F57;9;GroupB;GroupB_No;0.75;0.758;0.338;0.75;0.728;0.333;0.75;0.119;0.75;0.836;0.75;0.742;0.75;0.891;0.587;0.75
597FE89A1B41A20001749F57;10;GroupB;GroupB_No;0.75;0.836;0.372;0.75;0.642;0.354;0.75;0.111;0.75;0.723;0.75;0.925;0.75;0.956;0.565;0.75
597FE89A1B41A20001749F57;11;GroupB;GroupB_No;0.75;0.773;0.321;0.75;0.775;0.321;0.75;0.122;0.75;0.727;0.75;0.861;0.75;0.865;0.6;0.75
597FE89A1B41A20001749F57;12;GroupB;GroupB_No;0.75;0.773;0.321;0.75;0.775;0.321;0.75;0.122;0.75;0.727;0.75;0.861;0.75;0.865;0.6;0.75
597FE89A1B41A20001749F57;1;GroupB;GroupB_No;0.75;0.773;0.321;0.75;0.775;0.321;0.75;0.122;0.75;0.727;0.75;0.861;0.75;0.865;0.6;0.75
597FE89A1B41A20001749F57;1;GroupB;GroupB_No;0.75;0.773;0.321;0.75;0.775;0.321;0.75;0.122;0.75;0.727;0.75;0.861;0.75;0.865;0.6;0.75
597FE89A1B41A20001749F57;1;GroupB;GroupB_No;0.75;0.773;0.321;0.75;0.775;0.321;0.75;0.122;0.75;0.727;0.75;0.861;0.75;0.865;0.6;0.75
