UserID;Run;GroupID;LongitudinalID;Trajectory;TrajectoryAlpha;TrajectorySize;EgoTrajectory;EgoTrajectoryAlpha;EgoTrajectorySize;PedestrianIntention;PedestrianIntentionSize;SemanticSegmentation;SemanticSegmentationAlpha;CarStatus;CarStatusAlpha;CoveredArea;CoveredAreaAlpha;CoveredAreaSize;OccludedCars
637D6669AA19AB882DDD48D7;1;GroupE;GroupE_No;0.75;0.608;0.462;0.75;0.714;0.34;0.75;0.144;0.75;0.226;0.75;0.308;0.75;0.451;0.328;0.75
637D6669AA19AB882DDD48D7;2;GroupE;GroupE_No;0.25;0.1;0.1;0.25;0.1;0.6;0.25;0.116;0.25;0.543;0.25;1;0.75;0.526;0.8;0.75
637D6669AA19AB882DDD48D7;3;GroupE;GroupE_No;0.75;0.686;0.345;0.75;0.783;0.247;0.75;0.115;0.75;0.286;0.75;0.335;0.75;0.502;0.371;0.75
637D6669AA19AB882DDD48D7;4;GroupE;GroupE_No;0.75;0.606;0.317;0.75;0.7;0.294;0.75;0.114;0.75;0.321;0.75;0.422;0.75;0.51;0.423;0.75
637D6669AA19AB882DDD48D7;5;GroupE;GroupE_No;0.75;0.653;0.356;0.75;0.698;0.26;0.75;0.119;0.75;0.302;0.75;0.415;0.25;0.484;0.377;0.25
637D6669AA19AB882DDD48D7;6;GroupE;GroupE_No;0.75;0.643;0.308;0.75;0.786;0.278;0.75;0.11;0.75;0.304;0.75;0.34;0.75;0.526;0.414;0.75
637D6669AA19AB882DDD48D7;7;GroupE;GroupE_No;0.75;0.678;0.368;0.75;0.684;0.234;0.75;0.116;0.75;0.303;0.75;0.453;0.75;0.509;0.331;0.75
637D6669AA19AB882DDD48D7;8;GroupE;GroupE_No;0.75;0.617;0.294;0.25;0.803;0.306;0.75;0.113;0.75;0.303;0.75;0.299;0.25;0.502;0.463;0.75
637D6669AA19AB882DDD48D7;9;GroupE;GroupE_No;0.75;0.648;0.34;0.75;0.684;0.239;0.75;0.109;0.75;0.323;0.75;0.46;0.25;0.547;0.32;0.75
637D6669AA19AB882DDD48D7;10;GroupE;GroupE_No;0.75;0.647;0.322;0.75;0.8;0.3;0.75;0.119;0.75;0.284;0.75;0.298;0.75;0.467;0.47;0.25
637D6669AA19AB882DDD48D7;11;GroupE;GroupE_No;0.75;0.661;0.363;0.75;0.83;0.268;0.25;0.127;0.75;0.248;0.75;0.167;0.75;0.385;0.409;0.75
637D6669AA19AB882DDD48D7;12;GroupE;GroupE_No;0.75;0.661;0.363;0.75;0.83;0.268;0.25;0.127;0.75;0.248;0.75;0.167;0.75;0.385;0.409;0.75
637D6669AA19AB882DDD48D7;1;GroupE;GroupE_No;0.75;0.661;0.363;0.75;0.83;0.268;0.25;0.127;0.75;0.248;0.75;0.167;0.75;0.385;0.409;0.75
637D6669AA19AB882DDD48D7;1;GroupE;GroupE_No;0.75;0.661;0.363;0.75;0.83;0.268;0.25;0.127;0.75;0.248;0.75;0.167;0.75;0.385;0.409;0.75
637D6669AA19AB882DDD48D7;1;GroupE;GroupE_No;0.75;0.661;0.363;0.75;0.83;0.268;0.25;0.127;0.75;0.248;0.75;0.167;0.75;0.385;0.409;0.75
637D6669AA19AB882DDD48D7;1;GroupE;GroupE_No;0.75;0.661;0.363;0.75;0.83;0.268;0.25;0.127;0.75;0.248;0.75;0.167;0.75;0.385;0.409;0.75
637D6669AA19AB882DDD48D7;1;GroupE;GroupE_No;0.75;0.661;0.363;0.75;0.83;0.268;0.25;0.127;0.75;0.248;0.75;0.167;0.75;0.385;0.409;0.75
