UserID;Run;GroupID;LongitudinalID;Trajectory;TrajectoryAlpha;TrajectorySize;EgoTrajectory;EgoTrajectoryAlpha;EgoTrajectorySize;PedestrianIntention;PedestrianIntentionSize;SemanticSegmentation;SemanticSegmentationAlpha;CarStatus;CarStatusAlpha;CoveredArea;CoveredAreaAlpha;CoveredAreaSize;OccludedCars
5C93325695153900102E948B;1;GroupE;GroupE_No;0.75;0.608;0.462;0.75;0.714;0.34;0.75;0.144;0.75;0.226;0.75;0.308;0.75;0.451;0.328;0.75
5C93325695153900102E948B;2;GroupE;GroupE_No;0.25;0.1;0.111;0.25;0.145;0.263;0.75;0.198;0.25;0.912;0.25;0.756;0.25;0.144;0.769;0.25
5C93325695153900102E948B;3;GroupE;GroupE_No;0.75;0.686;0.346;0.75;0.785;0.27;0.75;0.109;0.75;0.26;0.75;0.351;0.75;0.531;0.371;0.75
5C93325695153900102E948B;4;GroupE;GroupE_No;0.75;0.607;0.315;0.75;0.699;0.27;0.75;0.12;0.75;0.349;0.75;0.405;0.75;0.479;0.424;0.75
5C93325695153900102E948B;5;GroupE;GroupE_No;0.75;0.669;0.298;0.25;0.757;0.319;0.75;0.105;0.75;0.239;0.75;0.379;0.75;0.409;0.398;0.75
5C93325695153900102E948B;6;GroupE;GroupE_No;0.75;0.628;0.362;0.75;0.73;0.225;0.75;0.123;0.75;0.362;0.75;0.375;0.75;0.596;0.395;0.75
5C93325695153900102E948B;7;GroupE;GroupE_No;0.75;0.572;0.367;0.75;0.699;0.278;0.75;0.1;0.75;0.252;0.75;0.405;0.75;0.488;0.383;0.75
5C93325695153900102E948B;8;GroupE;GroupE_No;0.75;0.723;0.295;0.75;0.787;0.262;0.75;0.129;0.75;0.354;0.75;0.349;0.25;0.524;0.41;0.75
5C93325695153900102E948B;9;GroupE;GroupE_No;0.75;0.621;0.301;0.75;0.679;0.271;0.75;0.121;0.75;0.268;0.75;0.519;0.75;0.507;0.202;0.75
5C93325695153900102E948B;10;GroupE;GroupE_No;0.75;0.67;0.359;0.75;0.802;0.269;0.75;0.108;0.75;0.331;0.75;0.246;0.75;0.506;0.578;0.75
5C93325695153900102E948B;11;GroupE;GroupE_No;0.75;0.656;0.351;0.25;0.725;0.215;0.75;0.104;0.75;0.454;0.75;0.37;0.25;0.557;0.339;0.75
5C93325695153900102E948B;12;GroupE;GroupE_No;0.75;0.656;0.351;0.25;0.725;0.215;0.75;0.104;0.75;0.454;0.75;0.37;0.25;0.557;0.339;0.75
5C93325695153900102E948B;1;GroupE;GroupE_No;0.75;0.656;0.351;0.25;0.725;0.215;0.75;0.104;0.75;0.454;0.75;0.37;0.25;0.557;0.339;0.75
5C93325695153900102E948B;1;GroupE;GroupE_No;0.75;0.656;0.351;0.25;0.725;0.215;0.75;0.104;0.75;0.454;0.75;0.37;0.25;0.557;0.339;0.75
