UserID;Run;GroupID;LongitudinalID;Trajectory;TrajectoryAlpha;TrajectorySize;EgoTrajectory;EgoTrajectoryAlpha;EgoTrajectorySize;PedestrianIntention;PedestrianIntentionSize;SemanticSegmentation;SemanticSegmentationAlpha;CarStatus;CarStatusAlpha;CoveredArea;CoveredAreaAlpha;CoveredAreaSize;OccludedCars
5E8F519FECA0A0229E496796;1;GroupA;GroupA_BO;0.25;0.432;0.452;0.25;0.675;0.362;0.75;0.107;0.25;0.413;0.75;0.296;0.25;0.476;0.343;0.25
5E8F519FECA0A0229E496796;2;GroupA;GroupA_BO;0.25;0.637;0.464;0.25;0.884;0.234;0.25;0.17;0.25;0.927;0.75;0.578;0.25;0.665;0.532;0.25
5E8F519FECA0A0229E496796;3;GroupA;GroupA_BO;0.25;0.728;0.363;0.75;0.251;0.321;0.25;0.198;0.25;0.78;0.75;0.912;0.25;0.429;0.237;0.75
5E8F519FECA0A0229E496796;4;GroupA;GroupA_BO;0.75;0.388;0.534;0.75;0.322;0.148;0.75;0.188;0.75;0.568;0.25;0.573;0.25;0.806;0.572;0.75
5E8F519FECA0A0229E496796;5;GroupA;GroupA_BO;0.75;0.296;0.516;0.75;0.484;0.509;0.75;0.103;0.25;0.486;0.25;0.614;0.25;0.759;0.766;0.75
5E8F519FECA0A0229E496796;6;GroupA;GroupA_BO;0.75;0.349;0.549;0.75;0.268;0.125;0.75;0.191;0.75;0.517;0.25;0.554;0.75;0.837;0.587;0.75
5E8F519FECA0A0229E496796;7;GroupA;GroupA_BO;0.75;0.353;0.548;0.75;0.253;0.128;0.75;0.19;0.75;0.553;0.25;0.56;0.75;0.845;0.583;0.75
5E8F519FECA0A0229E496796;8;GroupA;GroupA_BO;0.75;0.345;0.547;0.75;0.376;0.121;0.75;0.191;0.75;0.498;0.25;0.556;0.75;0.821;0.585;0.75
5E8F519FECA0A0229E496796;9;GroupA;GroupA_BO;0.75;0.333;0.551;0.75;0.375;0.119;0.75;0.191;0.75;0.636;0.25;0.555;0.75;0.835;0.587;0.75
5E8F519FECA0A0229E496796;10;GroupA;GroupA_BO;0.75;0.331;0.552;0.75;0.372;0.116;0.75;0.192;0.75;0.649;0.25;0.552;0.75;0.836;0.589;0.75
5E8F519FECA0A0229E496796;11;GroupA;GroupA_BO;0.75;0.319;0.556;0.75;0.369;0.109;0.75;0.192;0.75;0.663;0.25;0.548;0.25;0.844;0.592;0.75
5E8F519FECA0A0229E496796;12;GroupA;GroupA_BO;0.75;0.302;0.561;0.75;0.365;0.1;0.75;0.195;0.75;0.67;0.25;0.529;0.75;0.861;0.602;0.75
5E8F519FECA0A0229E496796;13;GroupA;GroupA_BO;0.75;0.355;0.566;0.75;0.326;0.1;0.75;0.188;0.75;0.657;0.25;0.527;0.75;0.807;0.576;0.75
5E8F519FECA0A0229E496796;14;GroupA;GroupA_BO;0.75;0.307;0.571;0.75;0.337;0.1;0.75;0.188;0.75;0.656;0.25;0.562;0.75;0.799;0.604;0.75
5E8F519FECA0A0229E496796;15;GroupA;GroupA_BO;0.75;0.319;0.548;0.75;0.342;0.1;0.75;0.189;0.75;0.651;0.25;0.515;0.75;0.813;0.596;0.75
5E8F519FECA0A0229E496796;17;GroupA;GroupA_BO;0.75;0.653;0.349;0.75;0.398;0.213;0.75;0.118;0.75;0.711;0.25;0.596;0.25;0.759;0.525;0.75
5E8F519FECA0A0229E496796;2;GroupA;GroupA_BO;0.75;0.595;0.362;0.75;0.43;0.185;0.75;0.116;0.75;0.725;0.25;0.571;0.25;0.786;0.539;0.75
5E8F519FECA0A0229E496796;2;GroupA;GroupA_BO;0.75;0.768;0.333;0.75;0.484;0.163;0.75;0.115;0.75;0.725;0.25;0.549;0.25;0.835;0.541;0.75
