Exploitation;Execution_Time;UserID;GroupID;LongitudinalID
1;29.288528203964233;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
2;21.377134323120117;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
3;35.34789991378784;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
4;26.20344066619873;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
5;35.56418800354004;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
6;33.68886160850525;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
7;22.121081113815308;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
8;22.766543865203857;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
9;24.944008827209473;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
10;26.21571683883667;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
1;669.0734124183655;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
1;578.9366602897644;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
1;388.6240780353546;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
1;380.0813262462616;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
1;383.61177825927734;5E3ADFC595FF562FBDD130FA;GroupA;GroupA_BO
