UserID;Run;GroupID;LongitudinalID;Trajectory;TrajectoryAlpha;TrajectorySize;EgoTrajectory;EgoTrajectoryAlpha;EgoTrajectorySize;PedestrianIntention;PedestrianIntentionSize;SemanticSegmentation;SemanticSegmentationAlpha;CarStatus;CarStatusAlpha;CoveredArea;CoveredAreaAlpha;CoveredAreaSize;OccludedCars
5FD18D125E1F92195B1717BC;1;GroupA;GroupA_BO;0.25;0.432;0.452;0.25;0.675;0.362;0.75;0.107;0.25;0.413;0.75;0.296;0.25;0.476;0.343;0.25
5FD18D125E1F92195B1717BC;2;GroupA;GroupA_BO;0.25;0.637;0.464;0.25;0.884;0.234;0.25;0.17;0.25;0.927;0.75;0.578;0.25;0.665;0.532;0.25
5FD18D125E1F92195B1717BC;3;GroupA;GroupA_BO;0.25;0.728;0.363;0.75;0.251;0.321;0.25;0.198;0.25;0.78;0.75;0.912;0.25;0.429;0.237;0.75
5FD18D125E1F92195B1717BC;4;GroupA;GroupA_BO;0.75;0.388;0.534;0.75;0.322;0.148;0.75;0.188;0.75;0.568;0.25;0.573;0.25;0.806;0.572;0.75
5FD18D125E1F92195B1717BC;5;GroupA;GroupA_BO;0.75;0.296;0.516;0.75;0.484;0.509;0.75;0.103;0.25;0.486;0.25;0.614;0.25;0.759;0.766;0.75
5FD18D125E1F92195B1717BC;6;GroupA;GroupA_BO;0.25;0.663;0.392;0.75;0.227;0.29;0.25;0.197;0.75;0.725;0.75;0.861;0.25;0.49;0.282;0.75
5FD18D125E1F92195B1717BC;7;GroupA;GroupA_BO;0.25;0.811;0.346;0.75;0.126;0.34;0.25;0.198;0.25;0.772;0.75;0.947;0.25;0.351;0.2;0.75
5FD18D125E1F92195B1717BC;8;GroupA;GroupA_BO;0.25;0.637;0.385;0.75;0.347;0.297;0.25;0.198;0.25;0.778;0.75;0.87;0.25;0.514;0.279;0.75
5FD18D125E1F92195B1717BC;9;GroupA;GroupA_BO;0.25;0.425;0.451;0.25;0.464;0.367;0.75;0.102;0.25;0.366;0.75;0.277;0.25;0.467;0.332;0.75
5FD18D125E1F92195B1717BC;10;GroupA;GroupA_BO;0.25;0.432;0.452;0.25;0.831;0.361;0.75;0.111;0.25;0.447;0.75;0.308;0.25;0.48;0.349;0.25
5FD18D125E1F92195B1717BC;11;GroupA;GroupA_BO;0.75;0.639;0.422;0.75;0.244;0.262;0.75;0.195;0.75;0.671;0.75;0.8;0.25;0.53;0.34;0.75
5FD18D125E1F92195B1717BC;12;GroupA;GroupA_BO;0.75;0.36;0.551;0.75;0.333;0.13;0.75;0.187;0.75;0.552;0.25;0.537;0.75;0.839;0.612;0.75
5FD18D125E1F92195B1717BC;13;GroupA;GroupA_BO;0.75;0.347;0.549;0.75;0.177;0.132;0.75;0.187;0.75;0.556;0.75;0.541;0.75;0.851;0.605;0.75
5FD18D125E1F92195B1717BC;14;GroupA;GroupA_BO;0.25;0.66;0.37;0.75;0.214;0.311;0.25;0.199;0.25;0.776;0.75;0.906;0.25;0.479;0.235;0.75
5FD18D125E1F92195B1717BC;15;GroupA;GroupA_BO;0.25;0.528;0.451;0.25;0.69;0.316;0.75;0.114;0.25;0.476;0.75;0.375;0.25;0.529;0.414;0.25
5FD18D125E1F92195B1717BC;17;GroupA;GroupA_BO;0.25;0.704;0.3;0.75;0.451;0.242;0.25;0.12;0.75;0.768;0.75;0.849;0.25;0.553;0.394;0.75
