Exploitation;Execution_Time;UserID;GroupID;LongitudinalID
1;4.313369989395142;607DB957E9D570C7C2657B8D;GroupE;GroupE_No
2;11.514451265335083;607DB957E9D570C7C2657B8D;GroupE;GroupE_No
3;7.941542863845825;607DB957E9D570C7C2657B8D;GroupE;GroupE_No
4;19.198479652404785;607DB957E9D570C7C2657B8D;GroupE;GroupE_No
5;10.053225040435791;607DB957E9D570C7C2657B8D;GroupE;GroupE_No
6;8.9493887424469;607DB957E9D570C7C2657B8D;GroupE;GroupE_No
7;12.092891693115234;607DB957E9D570C7C2657B8D;GroupE;GroupE_No
8;13.40007996559143;607DB957E9D570C7C2657B8D;GroupE;GroupE_No
9;10.88624382019043;607DB957E9D570C7C2657B8D;GroupE;GroupE_No
10;49.561787605285645;607DB957E9D570C7C2657B8D;GroupE;GroupE_No
