Exploitation;Execution_Time;UserID;GroupID;LongitudinalID
1;21.7710223197937;614E6F4F00A9E94B123316D3;GroupB;GroupB_No
2;78.7006824016571;614E6F4F00A9E94B123316D3;GroupB;GroupB_No
3;116.70275402069092;614E6F4F00A9E94B123316D3;GroupB;GroupB_No
4;118.03728914260864;614E6F4F00A9E94B123316D3;GroupB;GroupB_No
5;93.66926836967468;614E6F4F00A9E94B123316D3;GroupB;GroupB_No
6;17.053293228149414;614E6F4F00A9E94B123316D3;GroupB;GroupB_No
7;17.479822635650635;614E6F4F00A9E94B123316D3;GroupB;GroupB_No
8;16.943690061569214;614E6F4F00A9E94B123316D3;GroupB;GroupB_No
9;16.442927360534668;614E6F4F00A9E94B123316D3;GroupB;GroupB_No
10;20.7140109539032;614E6F4F00A9E94B123316D3;GroupB;GroupB_No
