Exploitation;Execution_Time;UserID;GroupID;LongitudinalID
1;2.3014378547668457;63460F79457F687948F53B88;GroupE;GroupE_No
2;7.38881516456604;63460F79457F687948F53B88;GroupE;GroupE_No
3;4.279394865036011;63460F79457F687948F53B88;GroupE;GroupE_No
4;8.565174579620361;63460F79457F687948F53B88;GroupE;GroupE_No
5;4.697069883346558;63460F79457F687948F53B88;GroupE;GroupE_No
6;9.26052474975586;63460F79457F687948F53B88;GroupE;GroupE_No
7;8.157117128372192;63460F79457F687948F53B88;GroupE;GroupE_No
8;7.41308069229126;63460F79457F687948F53B88;GroupE;GroupE_No
