Exploitation;Execution_Time;UserID;GroupID;LongitudinalID
1;120.9888665676117;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
2;223.2877767086029;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
3;208.39814114570618;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
4;158.9760663509369;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
5;381.3626277446747;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
6;176.1127486228943;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
7;220.96054244041443;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
8;231.553884267807;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
9;238.82704210281372;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
10;164.36117815971375;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
1;75.42571806907654;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
1;191.90960478782654;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
1;122.48961663246155;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
1;44.77437400817871;615C5D5D1768E12BBA80F289;GroupA;GroupA_BO
