response_id;user_id;group_id;longitudinal_id;run;phase;started;finished;"Trust_1";"Trust_2";"Understanding_1";"Understanding_2";"Understanding_3";"Understanding_4";"MentalLoad_1";"PerceivedSafety_1";"PerceivedSafety_2";"PerceivedSafety_3";"PerceivedSafety_4";"Aesthetics_1";"Acceptance_1";"AttentionCheck_1";"Acceptance_2";"TextInput_1"
3;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";1;"exploration";09/04/2023 03:29:32;09/04/2023 03:30:05;4;4;3;4;3;4;5;0;0;0;0;6;6;;6;"N/A"
4;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";2;"exploration";09/04/2023 03:30:42;09/04/2023 03:31:20;4;4;3;4;3;4;2;0;0;0;0;6;5;;6;"N/A"
5;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";3;"exploration";09/04/2023 03:31:57;09/04/2023 03:32:38;5;4;4;4;3;3;3;0;0;0;0;6;6;1;6;"n/a"
6;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";4;"exploration";09/04/2023 03:33:15;09/04/2023 03:33:40;5;5;4;4;4;4;5;0;0;0;0;6;5;;6;"n/a"
7;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";5;"exploration";09/04/2023 03:34:18;09/04/2023 03:36:23;5;5;5;4;4;4;6;0;0;0;0;6;6;;6;"n/a"
8;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";6;"exploitation";09/04/2023 03:38:41;09/04/2023 03:39:13;4;5;5;3;2;2;9;-1;-1;0;0;4;3;;3;"orbs are just confusing and dont add anything."
9;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";7;"exploitation";09/04/2023 03:41:16;09/04/2023 03:41:55;5;5;4;4;4;3;5;0;0;0;0;3;3;1;4;"n/a"
10;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";8;"exploitation";09/04/2023 03:43:50;09/04/2023 03:44:09;4;4;4;4;4;2;8;0;0;0;0;3;6;;3;"n/a"
11;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";9;"exploitation";09/04/2023 03:46:06;09/04/2023 03:46:27;5;5;5;5;5;4;8;0;0;0;0;3;6;;4;"n/a"
12;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";10;"exploitation";09/04/2023 03:48:33;09/04/2023 03:48:55;4;4;2;4;2;2;9;0;0;0;0;6;6;;3;"n/a"
13;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";11;"exploitation";09/04/2023 03:52:17;09/04/2023 03:52:50;4;4;4;4;4;4;7;0;0;0;0;3;5;1;3;"n/a"
14;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";12;"exploitation";09/04/2023 03:55:42;09/04/2023 03:56:10;3;3;1;2;1;3;1;0;0;0;0;1;1;;1;"n/a"
15;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";13;"exploitation";09/04/2023 03:59:40;09/04/2023 04:00:00;4;4;4;4;4;4;5;0;0;0;0;6;6;;6;"n/a"
16;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";14;"exploitation";09/04/2023 04:03:08;09/04/2023 04:03:30;3;3;1;5;1;1;4;0;0;0;0;1;1;;1;"n/a"
17;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";15;"exploitation";09/04/2023 04:06:00;09/04/2023 04:06:29;4;4;4;4;4;4;6;0;0;0;0;5;6;;3;"n/a"
18;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";1;"";09/04/2023 04:09:32;09/04/2023 04:09:57;5;5;5;5;5;4;10;0;0;0;0;7;7;;7;"n/a"
20;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";2;"";09/05/2023 09:34:35;09/05/2023 09:35:37;5;5;4;4;4;4;10;-1;0;0;0;7;6;;7;"Still like different "danger states" for some of the objects. For example, a person crossing the street should be on a higher alert for the system than pedestrians on the sidewalk"
22;"62F978C699A3CF008AE65650";"GroupA";"GroupA_No";3;"";09/07/2023 00:36:59;09/07/2023 00:37:56;4;5;4;4;4;2;6;0;0;0;0;6;6;;7;"Different threat levels or danger states. People should be blue for example, but if they are jay walking they should be more alert in the sytem"
