UserID;Run;GroupID;LongitudinalID;Trajectory;TrajectoryAlpha;TrajectorySize;EgoTrajectory;EgoTrajectoryAlpha;EgoTrajectorySize;PedestrianIntention;PedestrianIntentionSize;SemanticSegmentation;SemanticSegmentationAlpha;CarStatus;CarStatusAlpha;CoveredArea;CoveredAreaAlpha;CoveredAreaSize;OccludedCars
63F77B9CA8439F6E1620C1CD;1;GroupE;GroupE_BO;0.75;0.608;0.462;0.75;0.714;0.34;0.75;0.144;0.75;0.226;0.75;0.308;0.75;0.451;0.328;0.75
63F77B9CA8439F6E1620C1CD;2;GroupE;GroupE_BO;0.25;0.1;0.112;0.25;0.146;0.263;0.75;0.198;0.25;0.912;0.25;0.756;0.25;0.144;0.769;0.25
63F77B9CA8439F6E1620C1CD;3;GroupE;GroupE_BO;0.75;0.688;0.349;0.75;0.79;0.272;0.75;0.108;0.75;0.257;0.75;0.35;0.75;0.533;0.367;0.75
63F77B9CA8439F6E1620C1CD;4;GroupE;GroupE_BO;0.75;0.608;0.314;0.75;0.698;0.268;0.75;0.12;0.75;0.348;0.75;0.403;0.75;0.48;0.426;0.75
63F77B9CA8439F6E1620C1CD;5;GroupE;GroupE_BO;0.75;0.656;0.334;0.75;0.798;0.267;0.75;0.133;0.75;0.273;0.75;0.379;0.75;0.504;0.363;0.75
63F77B9CA8439F6E1620C1CD;6;GroupE;GroupE_BO;0.75;0.656;0.338;0.75;0.658;0.277;0.75;0.1;0.75;0.336;0.75;0.356;0.75;0.527;0.446;0.75
63F77B9CA8439F6E1620C1CD;7;GroupE;GroupE_BO;0.75;0.593;0.303;0.75;0.829;0.257;0.75;0.106;0.75;0.299;0.75;0.438;0.75;0.446;0.349;0.75
63F77B9CA8439F6E1620C1CD;8;GroupE;GroupE_BO;0.75;0.654;0.347;0.75;0.705;0.398;0.75;0.12;0.75;0.354;0.75;0.324;0.75;0.559;0.392;0.75
63F77B9CA8439F6E1620C1CD;9;GroupE;GroupE_BO;0.75;0.707;0.347;0.75;0.692;0.136;0.75;0.118;0.75;0.246;0.75;0.366;0.75;0.516;0.454;0.75
63F77B9CA8439F6E1620C1CD;10;GroupE;GroupE_BO;0.75;0.65;0.332;0.75;0.741;0.269;0.75;0.114;0.75;0.302;0.75;0.375;0.75;0.508;0.398;0.75
63F77B9CA8439F6E1620C1CD;11;GroupE;GroupE_BO;0.75;0.647;0.331;0.75;0.742;0.27;0.75;0.114;0.75;0.303;0.75;0.377;0.75;0.506;0.397;0.75
63F77B9CA8439F6E1620C1CD;13;GroupE;GroupE_BO;0.75;0.662;0.279;0.75;0.602;0.156;0.75;0.127;0.75;0.413;0.75;0.448;0.75;0.553;0.485;0.75
