response_id;user_id;group_id;longitudinal_id;run;phase;started;finished;"Trust_1";"Trust_2";"Understanding_1";"Understanding_2";"Understanding_3";"Understanding_4";"MentalLoad_1";"PerceivedSafety_1";"PerceivedSafety_2";"PerceivedSafety_3";"PerceivedSafety_4";"TextInput_1"
2;"634727CAA60D531CE868AD44";"GroupD";"GroupD_No";0;"edit";09/02/2023 17:16:41;09/02/2023 17:17:42;3;3;4;3;4;3;2;2;1;2;0;"N/A"
3;"634727CAA60D531CE868AD44";"GroupD";"GroupD_No";1;"";09/02/2023 17:24:31;09/02/2023 17:25:39;2;3;2;2;2;2;7;0;0;1;0;"N/A"
