Hypervolume;Run;UserID;GroupID;LongitudinalID
28611.0;0;5E51FBBC31127D237D48C881;GroupE;GroupE_No
28611.0;1;5E51FBBC31127D237D48C881;GroupE;GroupE_No
28611.0;2;5E51FBBC31127D237D48C881;GroupE;GroupE_No
28611.0;3;5E51FBBC31127D237D48C881;GroupE;GroupE_No
28611.0;4;5E51FBBC31127D237D48C881;GroupE;GroupE_No
28611.0;5;5E51FBBC31127D237D48C881;GroupE;GroupE_No
28611.0;6;5E51FBBC31127D237D48C881;GroupE;GroupE_No
28611.0;7;5E51FBBC31127D237D48C881;GroupE;GroupE_No
28611.0;8;5E51FBBC31127D237D48C881;GroupE;GroupE_No
28611.0;9;5E51FBBC31127D237D48C881;GroupE;GroupE_No
