Hypervolume;Run;UserID;GroupID;LongitudinalID
4375.0;0;5FA4C21A04BC5912180291BC;GroupB;GroupB_No
4375.107421875;1;5FA4C21A04BC5912180291BC;GroupB;GroupB_No
4375.96484375;2;5FA4C21A04BC5912180291BC;GroupB;GroupB_No
4375.96484375;3;5FA4C21A04BC5912180291BC;GroupB;GroupB_No
4375.96484375;4;5FA4C21A04BC5912180291BC;GroupB;GroupB_No
4375.96484375;5;5FA4C21A04BC5912180291BC;GroupB;GroupB_No
4375.96484375;6;5FA4C21A04BC5912180291BC;GroupB;GroupB_No
4375.96484375;7;5FA4C21A04BC5912180291BC;GroupB;GroupB_No
4375.984375;8;5FA4C21A04BC5912180291BC;GroupB;GroupB_No
4376.07470703125;9;5FA4C21A04BC5912180291BC;GroupB;GroupB_No
