Exploitation;Execution_Time;UserID;GroupID;LongitudinalID
1;1.993774175643921;5E51FBBC31127D237D48C881;GroupE;GroupE_No
2;5.943657875061035;5E51FBBC31127D237D48C881;GroupE;GroupE_No
3;3.7284293174743652;5E51FBBC31127D237D48C881;GroupE;GroupE_No
4;7.723229885101318;5E51FBBC31127D237D48C881;GroupE;GroupE_No
5;3.4789907932281494;5E51FBBC31127D237D48C881;GroupE;GroupE_No
6;7.681566953659058;5E51FBBC31127D237D48C881;GroupE;GroupE_No
7;5.328152894973755;5E51FBBC31127D237D48C881;GroupE;GroupE_No
8;7.646172761917114;5E51FBBC31127D237D48C881;GroupE;GroupE_No
9;7.105902910232544;5E51FBBC31127D237D48C881;GroupE;GroupE_No
10;3.8423027992248535;5E51FBBC31127D237D48C881;GroupE;GroupE_No
