Group ID; User ID; Iteration; X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
6143AF8721D1445864C4F6C8;GroupB;4;1106;998;0.3840685;0.6163542;0.3840685;0.6163542;479.4;0.2121409;False;09/03/2023 14:49:49:996;1693770589996;;
6143AF8721D1445864C4F6C8;GroupB;4;1105;998;0.3839842;0.6163958;0.377935;0.6220613;479.4;0.2117274;False;09/03/2023 14:49:50:18;1693770590018;;
6143AF8721D1445864C4F6C8;GroupB;4;1105;998;0.3839844;0.6163958;0.3840685;0.6163542;479.4;0.2121409;False;09/03/2023 14:49:50:41;1693770590041;;
6143AF8721D1445864C4F6C8;GroupB;4;1127;991;0.3916093;0.611814;0.4454454;0.5546277;479.4;0.2076058;False;09/03/2023 14:49:50:64;1693770590064;;
6143AF8721D1445864C4F6C8;GroupB;4;1126;990;0.3910508;0.6116585;0.3761586;0.5998131;478.2;0.1957882;False;09/03/2023 14:49:50:89;1693770590089;;
6143AF8721D1445864C4F6C8;GroupB;4;1171;973;0.4067024;0.6011848;0.4793714;0.5161625;477.0;0.1910817;False;09/03/2023 14:49:50:112;1693770590112;;
6143AF8721D1445864C4F6C8;GroupB;4;1166;973;0.4048949;0.6011768;0.3761594;0.5998108;476.0;0.1957958;False;09/03/2023 14:49:50:139;1693770590139;;
6143AF8721D1445864C4F6C8;GroupB;4;1203;959;0.4178887;0.5923005;0.4793708;0.516164;475.0;0.1910774;False;09/03/2023 14:49:50:165;1693770590165;;
6143AF8721D1445864C4F6C8;GroupB;4;1195;959;0.4149934;0.5924407;0.3761594;0.5998108;474.2;0.1957958;False;09/03/2023 14:49:50:188;1693770590188;;
6143AF8721D1445864C4F6C8;GroupB;4;1232;931;0.4281022;0.5752572;0.4865412;0.475567;477.1;0.2020574;False;09/03/2023 14:49:50:216;1693770590216;;
6143AF8721D1445864C4F6C8;GroupB;4;1212;935;0.4210439;0.5775344;0.3636565;0.6159363;479.8;0.2064237;False;09/03/2023 14:49:50:240;1693770590240;;
6143AF8721D1445864C4F6C8;GroupB;4;1240;916;0.4307039;0.5659235;0.4865406;0.4755681;482.2;0.2020552;False;09/03/2023 14:49:50:262;1693770590262;;
6143AF8721D1445864C4F6C8;GroupB;4;1218;921;0.4229959;0.5691225;0.3636565;0.6159363;484.4;0.2064237;False;09/03/2023 14:49:50:285;1693770590285;;
6143AF8721D1445864C4F6C8;GroupB;4;1245;904;0.4325449;0.5585349;0.4865405;0.4755684;486.3;0.2020547;False;09/03/2023 14:49:50:310;1693770590310;;
6143AF8721D1445864C4F6C8;GroupB;4;1222;911;0.4243398;0.5625639;0.3636565;0.6159363;488.0;0.2064237;False;09/03/2023 14:49:50:332;1693770590332;;
