Exploitation;Execution_Time;UserID;GroupID;LongitudinalID
1;7.391052007675171;64135E3D9CD5E3F16290D29C;GroupA;GroupA_No
2;8.217005491256714;64135E3D9CD5E3F16290D29C;GroupA;GroupA_No
3;8.554553270339966;64135E3D9CD5E3F16290D29C;GroupA;GroupA_No
4;11.405883550643921;64135E3D9CD5E3F16290D29C;GroupA;GroupA_No
5;8.46407175064087;64135E3D9CD5E3F16290D29C;GroupA;GroupA_No
6;18.248353958129883;64135E3D9CD5E3F16290D29C;GroupA;GroupA_No
7;15.287997722625732;64135E3D9CD5E3F16290D29C;GroupA;GroupA_No
8;11.527959823608398;64135E3D9CD5E3F16290D29C;GroupA;GroupA_No
9;14.020945072174072;64135E3D9CD5E3F16290D29C;GroupA;GroupA_No
10;22.424041986465454;64135E3D9CD5E3F16290D29C;GroupA;GroupA_No
